,address,coordinates
0,"пр-кт. Мира, д. 188 Б, к. 1, Москва","[37.65806954672649, 55.83441355]"
1,"пр-кт. Мира, д. 188Б, к. 3, Москва","[37.6584768, 55.8355402]"
2,"пер. Чапаевский, д. 3, Москва","[37.52038218638005, 55.79818205]"
3,"ул. Мосфильмовская, д. 8, Москва","[37.527035300180884, 55.72377795]"
4,"ул. Мосфильмовская, д. 70, Москва","[37.5088701, 55.7168266]"
5,"ул. Авиационная, д. 79, к. 1, Москва","[37.4482404, 55.8055475]"
6,"ул. Новодмитровская, д. 2, к. 7, Москва","[37.5916064, 55.8024458]"
7,"пр-кт. Ленинский, д. 111, к. 1, Москва","[37.50939515631741, 55.6616805]"
8,"пр-кт. Маршала Жукова, д. 78, Москва","[37.45005831072871, 55.78006355]"
9,"ул. Новодмитровская, д. 2, к. 5, Москва","[37.5911578, 55.8032287]"
10,"ул. Новодмитровская, д. 2, к. 6, Москва","[37.5917255, 55.8031507]"
11,"ул. Михневская, д. 8, Москва","[37.67159770940653, 55.5796294]"
12,"ш. Хорошевское, д. 16, к. 1, Москва","[37.5457817, 55.7745696]"
13,"ш. Хорошевское, д. 16, к. 2, Москва","[37.5465488, 55.7743298]"
14,"ш. Ленинградское, д. 25, к. 2, Москва","[37.48759457401711, 55.82763115]"
15,"ул. Дыбенко, д. 38, к. 1, Москва","[37.48412365315069, 55.87679575]"
16,"ул. Профсоюзная, д. 64, к. 2, Москва","[37.547574245345984, 55.6654431]"
17,"ш. Рублевское, д. 107, Москва","[37.4192978, 55.7439172]"
18,"ул. Саляма Адиля, д. 2, к. 1, Москва","[37.46731385151523, 55.7739763]"
19,"мкр. Чертаново Северное, д. 1А, Москва","[37.599690381296675, 55.637007600000004]"
20,"ул. Минская, д. 2, Москва","[37.49714360106742, 55.7253994]"
21,"ул. Русаковская, д. 31, Москва","[37.6790674, 55.7883793]"
22,"ул. Маршала Катукова, д. 24, к. 1, Москва","[37.414566627065916, 55.8044448]"
23,"пр-кт. Мира, д. 188 Б, к. 4, Москва","[37.659617059430495, 55.83429775]"
24,"пр-кт. Вернадского, д. 94, к. 4, Москва","[37.47169907908837, 55.6530732]"
25,"ул. Исаковского, д. 39, к. 1, Москва","[37.42353552297688, 55.8067523]"
26,"ш. Ленинградское, д. 108, Москва","[37.4675129, 55.8605337]"
27,"наб. Шелепихинская, д. 34, к. 1, Москва","[37.5080323, 55.7635024]"
28,"ул. Авиационная, д. 79, Москва","[37.44844221737028, 55.8082484]"
29,"пр-кт. Вернадского, д. 94, к. 3, Москва","[37.473061657159676, 55.6529431]"
30,"ул. Крылатские Холмы, д. 33, к. 1, Москва","[37.41826585756719, 55.75686805]"
31,"ул. Мосфильмовская, д. 55, Москва","[37.49500242860728, 55.703152700000004]"
32,"ул. Первомайская, д. 42., Москва","[37.7866297, 55.7927808]"
33,"ул. Сельскохозяйственная, д. 16, к. 1, Москва","[37.643745344469366, 55.8367478]"
34,"ул. Смольная, д. 49, Москва","[37.4784556, 55.8636139]"
35,"ул. Авиационная, д. 66, Москва","[37.460473, 55.8094049]"
36,"ул. Авиационная, д. 77, Москва","[37.45088638526502, 55.8079063]"
37,"ул. Авиационная, д. 77, к. 1, Москва","[37.4502314069654, 55.80738235]"
38,"проезд. Кочновский, д. 4, к. 1, Москва","[37.543256, 55.8068631]"
39,"проезд. Кочновский, д. 4, к. 2, Москва","[37.5452632, 55.8061667]"
40,"ул. Крылатские Холмы, д. 37, Москва","[37.418904655936075, 55.760237700000005]"
