,line
0,"['[37.625664,55.740775],[37.625659,55.740638]']"
1,"['[37.625048,55.740608],[37.625051,55.740978]']"
2,"['[37.625051,55.740978],[37.625142,55.741124]']"
3,"['[37.625142,55.741124],[37.625692,55.741177]']"
4,"['[37.629326,55.742457],[37.629323,55.742415]']"
5,"['[37.629323,55.742415],[37.629317,55.742346]']"
6,"['[37.625332,55.726762],[37.62517,55.727206]']"
7,"['[37.625921,55.726808],[37.625912,55.726832]']"
8,"['[37.625912,55.726832],[37.625861,55.726826]']"
9,"['[37.625861,55.726826],[37.62563,55.726801]']"
10,"['[37.62563,55.726801],[37.625332,55.726762]']"
11,"['[37.625659,55.740638],[37.625048,55.740608]']"
12,"['[37.623574,55.728848],[37.62297,55.728847]']"
13,"['[37.62297,55.728847],[37.62295,55.728787]']"
14,"['[37.626555,55.731733],[37.625649,55.730064]']"
15,"['[37.625483,55.726762],[37.625921,55.726808]']"
16,"['[37.629237,55.742202],[37.629246,55.742269]']"
17,"['[37.625663,55.740903],[37.625664,55.740775]']"
18,"['[37.627292,55.732519],[37.626555,55.731733]']"
19,"['[37.625342,55.726962],[37.625483,55.726762]']"
