,house_id,met_vok_id,route,duration,distance
0,2021,0,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623037, 55.72584], [37.625198, 55.726287], [37.625286, 55.726128], [37.625631, 55.726186], [37.625438, 55.726646], [37.62637, 55.726755], [37.626354, 55.726807], [37.628453, 55.727047], [37.634481, 55.728243], [37.636944, 55.728309], [37.637099, 55.728338], [37.636872, 55.729331], [37.63729, 55.729348], [37.639568, 55.729361], [37.640058, 55.7294], [37.640014, 55.729804], [37.640406, 55.729833], [37.640344, 55.73008], [37.640902, 55.730121]], 'type': 'LineString'}",1541.943,2173.324
1,2021,1,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622804, 55.726285], [37.622951, 55.726996], [37.623286, 55.728847], [37.623574, 55.728848], [37.623808, 55.729219], [37.624165, 55.729739], [37.624501, 55.734561], [37.625432, 55.734652], [37.625664, 55.740788], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",1846.71,2606.553
2,2021,2,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622742, 55.72599], [37.623037, 55.725974], [37.623808, 55.729219], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.626555, 55.731733], [37.627572, 55.733001], [37.627915, 55.735287], [37.628586, 55.742257], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",1975.561,2778.72
3,2021,3,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623808, 55.729219], [37.623889, 55.729608], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.625681, 55.730124], [37.626724, 55.7302], [37.626749, 55.730126], [37.629803, 55.730415], [37.629641, 55.73052], [37.63354, 55.730928], [37.635764, 55.731234], [37.63723, 55.731464]], 'type': 'LineString'}",1455.051,2086.276
4,2021,4,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622804, 55.726285], [37.622951, 55.726996], [37.623017, 55.727352], [37.622996, 55.727355], [37.622726, 55.727806], [37.62295, 55.728787]], 'type': 'LineString'}",717.753,1022.795
5,2021,5,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623045, 55.725899], [37.625184, 55.726317], [37.624908, 55.726914], [37.624829, 55.72688], [37.624879, 55.726767], [37.624925, 55.726709], [37.624948, 55.726713], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",735.02,1042.486
6,2556,0,"{'coordinates': [[37.632089, 55.723585], [37.631506, 55.724099], [37.63158, 55.724205], [37.632083, 55.724432], [37.632149, 55.724387], [37.63313, 55.724832], [37.633161, 55.724813], [37.633291, 55.724883], [37.633231, 55.724921], [37.633939, 55.72527], [37.634252, 55.725277], [37.634248, 55.725829], [37.634473, 55.725831], [37.634467, 55.726211], [37.634853, 55.726228], [37.635004, 55.726481], [37.635106, 55.726807], [37.63629, 55.726835], [37.636283, 55.72693], [37.636397, 55.727278], [37.637051, 55.727348], [37.6369, 55.72814], [37.637244, 55.728161], [37.636988, 55.728588], [37.636872, 55.729331], [37.63729, 55.729348], [37.638623, 55.729441], [37.639568, 55.729361], [37.640058, 55.7294], [37.640014, 55.729804], [37.640406, 55.729833], [37.640344, 55.73008], [37.640902, 55.730121]], 'type': 'LineString'}",894.472,1265.95
7,2556,1,"{'coordinates': [[37.632089, 55.723585], [37.631506, 55.724099], [37.633077, 55.724906], [37.631595, 55.725716], [37.631641, 55.725888], [37.631004, 55.727506], [37.630846, 55.727603], [37.63086, 55.727613], [37.63009, 55.729412], [37.630105, 55.729426], [37.62956, 55.730057], [37.629384, 55.730037], [37.629249, 55.730454], [37.629421, 55.730473], [37.629442, 55.730505], [37.629542, 55.730515], [37.628757, 55.733644], [37.627711, 55.73359], [37.627814, 55.734168], [37.627576, 55.734177], [37.627601, 55.734835], [37.625648, 55.734675], [37.62579, 55.738944], [37.625578, 55.738952], [37.625664, 55.740788], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",1769.402,2498.097
8,2556,2,"{'coordinates': [[37.632089, 55.723585], [37.631506, 55.724099], [37.633077, 55.724906], [37.631595, 55.725716], [37.631641, 55.725888], [37.631004, 55.727506], [37.630846, 55.727603], [37.63086, 55.727613], [37.63009, 55.729412], [37.630105, 55.729426], [37.62956, 55.730057], [37.629384, 55.730037], [37.629249, 55.730454], [37.629421, 55.730473], [37.629442, 55.730505], [37.629542, 55.730515], [37.628757, 55.733644], [37.627711, 55.73359], [37.627915, 55.735287], [37.628626, 55.741928], [37.62889, 55.741933], [37.629005, 55.742022], [37.629001, 55.74227], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",1721.252,2426.688
9,2556,3,"{'coordinates': [[37.632089, 55.723585], [37.631506, 55.724099], [37.632083, 55.724432], [37.632149, 55.724387], [37.63313, 55.724832], [37.633161, 55.724813], [37.633291, 55.724883], [37.633231, 55.724921], [37.633939, 55.72527], [37.634252, 55.725277], [37.634211, 55.728266], [37.634234, 55.728271], [37.634227, 55.729776], [37.634422, 55.729794], [37.634381, 55.72995], [37.63516, 55.73003], [37.635506, 55.730524], [37.635728, 55.730554], [37.635685, 55.730649], [37.635765, 55.730657], [37.635972, 55.73068], [37.636485, 55.730738], [37.636098, 55.731209], [37.636784, 55.73138], [37.63723, 55.731464]], 'type': 'LineString'}",811.355,1163.341
